序,时间,区,目的港,国家,中文,代,船,20G,E1,40G,E2,40H,E3,AE,20'GP(标准报价),40'GP(标准报价),40'HQ(标准报价),EBS,AE1,船期,港,中转港,中转,航程,起,止,内部备注,限重,快捷报价,,,
81,71817,南,PORT ELIZABETH,South Africa,"伊丽莎白港,南非",D,SAF,465,60,930,120,930,120,AMS30,490,980,980,60/120,,周三,洋山,DIR,直达,33,7-01,7-31,SAF1,,Port Elizabeth SAF USD465/930 + EBS60/120 + AMS30/BILL，周三洋山直达33天，价格到7月31日已过期，紧供参考。,,,
82,71817,南,PORT ELIZABETH,South Africa,"伊丽莎白港,南非",M,CMA,513,55,963,110,963,110,AMS30,525,1000,1000,55/110,,周三,洋山,DIR,直达,30,7-08,7-31,SHAKA2 目的港5天免用箱,,Port Elizabeth CMA USD513/963 + EBS55/110 + AMS30/BILL，周三洋山直达30天，价格到7月31日已过期，紧供参考。,,,
83,71817,南,PORT ELIZABETH,South Africa,"伊丽莎白港,南非",B,MSC,650,,1300,,1300,,AMS30,675,1350,1350,,,周五,外港,DUR,德班,25,7-15,7-31,另加ENS USD25/BILL weight less that 24.8(inlcuding tare),20'GP ≧18T+USD200,Port Elizabeth MSC USD650/1300 + AMS30/BILL，周五外港德班转25天，价格到7月31日已过期，紧供参考。,,,
84,71817,南,PORT ELIZABETH,South Africa,"伊丽莎白港,南非",I,HBS,440,60,850,120,850,120,AMS30,465,900,900,60/120,,周三,洋山,DIR,直达,25,7-23,7-31,另加AMS USD35/BILL,,Port Elizabeth HBS USD440/850 + EBS60/120 + AMS30/BILL，周三洋山直达25天，价格到7月31日已过期，紧供参考。,,,
85,71817,南,BEIRA,Mozambique,"贝拉,莫桑比克",D,SAF,1425,60,2600,120,2600,120,AMS30,1450,2650,2650,60/120,,周二,洋山,TPP,丹戎帕拉帕斯港,34,7-16,7-31,AE1/AE5,,Beira SAF USD1425/2600 + EBS60/120 + AMS30/BILL，周二洋山丹戎帕拉帕斯港转34天，价格到7月31日已过期，紧供参考。,,,
86,71817,南,BEIRA,Mozambique,"贝拉,莫桑比克",A,MSK,1450,60,2650,120,2650,120,AMS30,1475,2700,2700,60/120,,周7,洋山,TPP,丹戎帕拉帕斯港,34,7-16,7-31,FW3,,Beira MSK USD1450/2650 + EBS60/120 + AMS30/BILL，周7洋山丹戎帕拉帕斯港转34天，价格到7月31日已过期，紧供参考。,,,
87,71817,南,BEIRA,Mozambique,"贝拉,莫桑比克",K,PIL,1810,,2910,,2910,,AMS30,1910,3210,3210,,,周三,外港,SIN,新加坡,40,7-15,7-31,,,Beira PIL USD1810/2910 + AMS30/BILL，周三外港新加坡转40天，价格到7月31日已过期，紧供参考。,,,
88,71817,南,BEIRA,Mozambique,"贝拉,莫桑比克",M,CMA,1500,55,2750,110,2750,110,AMS30,1525,2800,2800,55/110,,周四/周日,外港/洋山,TPP/SIN,丹戎帕拉帕斯港/新加坡,34,7-07,7-31,"WAX/FAL1 7days (domestic ),21days(transit cargo)",,Beira CMA USD1500/2750 + EBS55/110 + AMS30/BILL，周四/周日外港/洋山丹戎帕拉帕斯港/新加坡转34天，价格到7月31日已过期，紧供参考。,,,
89,71817,南,BEIRA,Mozambique,"贝拉,莫桑比克",B,MSC,1125,,1950,,1950,,AMS30,1150,2000,2000,,,周五,外港,DUR,德班,32,7-15,7-31,另加ENS USD25/BILL,20'GP ≧18T+USD200,Beira MSC USD1125/1950 + AMS30/BILL，周五外港德班转32天，价格到7月31日已过期，紧供参考。,,,
90,71817,南,NACALA,Mozambique,"那卡拉,莫桑比克",A,MSK,1450,60,2650,120,2650,120,AMS30,1475,2700,2700,60/120,,周一,洋山,TPP,丹戎帕拉帕斯港,44,7-16,7-31,FW3,,Nacala MSK USD1450/2650 + EBS60/120 + AMS30/BILL，周一洋山丹戎帕拉帕斯港转44天，价格到7月31日已过期，紧供参考。,,,
91,71817,南,NACALA,Mozambique,"那卡拉,莫桑比克",D,SAF,1425,60,2600,120,2600,120,AMS30,1450,2650,2650,60/120,,周一/三,洋山,TPP,丹戎帕拉帕斯港,44,7-16,7-31,AE1/AE5,,Nacala SAF USD1425/2600 + EBS60/120 + AMS30/BILL，周一/三洋山丹戎帕拉帕斯港转44天，价格到7月31日已过期，紧供参考。,,,
92,71817,南,NACALA,Mozambique,"那卡拉,莫桑比克",M,CMA,1500,55,2750,110,2750,110,AMS30,1525,2800,2800,55/110,,周四/周日,外港/洋山,TPP/SIN,丹戎帕拉帕斯港/新加坡,36,7-07,7-31,"WAX/FAL1 7days (domestic ),21days(transit cargo)",,Nacala CMA USD1500/2750 + EBS55/110 + AMS30/BILL，周四/周日外港/洋山丹戎帕拉帕斯港/新加坡转36天，价格到7月31日已过期，紧供参考。,,,
93,71817,南,NACALA,Mozambique,"那卡拉,莫桑比克",B,MSC,1125,,1950,,1950,,AMS30,1150,2000,2000,,,周五,外港,DUR,德班,31,7-15,7-31,另加ENS USD25/BILL,20'GP ≧18T+USD200,Nacala MSC USD1125/1950 + AMS30/BILL，周五外港德班转31天，价格到7月31日已过期，紧供参考。,,,
94,71817,南,NACALA,Mozambique,"那卡拉,莫桑比克",K,PIL,1810,,2910,,2910,,AMS30,1910,3210,3210,,,周三,外港,SIN,新加坡,46,7-15,7-31,,,Nacala PIL USD1810/2910 + AMS30/BILL，周三外港新加坡转46天，价格到7月31日已过期，紧供参考。,,,
95,71817,南,MAPUTO,Mozambique,"马普托,莫桑比克",A,MSK,1450,60,2650,120,2650,120,AMS30,1475,2700,2700,60/120,,周7,洋山,TPP,丹戎帕拉帕斯港,31,7-16,7-31,FW3,,Maputo MSK USD1450/2650 + EBS60/120 + AMS30/BILL，周7洋山丹戎帕拉帕斯港转31天，价格到7月31日已过期，紧供参考。,,,
96,71817,南,MAPUTO,Mozambique,"马普托,莫桑比克",D,SAF,1425,60,2600,120,2600,120,AMS30,1450,2650,2650,60/120,,周天/一/三,洋山,TPP,丹戎帕拉帕斯港,31,7-16,7-31,AE7/AE1/AE5,,Maputo SAF USD1425/2600 + EBS60/120 + AMS30/BILL，周天/一/三洋山丹戎帕拉帕斯港转31天，价格到7月31日已过期，紧供参考。,,,
97,71817,南,MAPUTO,Mozambique,"马普托,莫桑比克",M,CMA,1500,55,2750,110,2750,110,AMS30,1525,2800,2800,55/110,,周四/周日,外港/洋山,TPP/SIN,丹戎帕拉帕斯港/新加坡,30,7-07,7-31,"WAX/FAL1 7days (domestic ),21days(transit cargo)",,Maputo CMA USD1500/2750 + EBS55/110 + AMS30/BILL，周四/周日外港/洋山丹戎帕拉帕斯港/新加坡转30天，价格到7月31日已过期，紧供参考。,,,
98,71817,南,MAPUTO,Mozambique,"马普托,莫桑比克",K,PIL,1810,,2910,,2910,,AMS30,1910,3210,3210,,,周三,外港,SIN,新加坡,36,7-15,7-31,,,Maputo PIL USD1810/2910 + AMS30/BILL，周三外港新加坡转36天，价格到7月31日已过期，紧供参考。,,,
99,71817,南,MAPUTO,Mozambique,"马普托,莫桑比克",B,MSC,1125,,1950,,1950,,AMS30,1150,2000,2000,,,周五,外港,DUR,德班,32,7-15,7-31,另加ENS USD25/BILL,20'GP ≧18T+USD200,Maputo MSC USD1125/1950 + AMS30/BILL，周五外港德班转32天，价格到7月31日已过期，紧供参考。,,,
100,71817,南,PORT LOUIS ,Mauritius,"路易港,毛里求斯",K,PIL,1010,,2010,,2010,,AMS30,1110,2310,2310,,,周三,外港,SIN,新加坡,28,7-15,7-31,,,Port Louis PIL USD1010/2010 + AMS30/BILL，周三外港新加坡转28天，价格到7月31日已过期，紧供参考。,,,
101,71817,南,PORT LOUIS ,Mauritius,"路易港,毛里求斯",A,MSK,825,60,1650,120,1650,120,AMS30,850,1700,1700,60/120,,周三,洋山,DIR,直达,20,7-23,7-31,AC3,,Port Louis MSK USD825/1650 + EBS60/120 + AMS30/BILL，周三洋山直达20天，价格到7月31日已过期，紧供参考。,,,
102,71817,南,PORT LOUIS ,Mauritius,"路易港,毛里求斯",D,SAF,800,60,1600,120,1600,120,AMS30,825,1650,1650,60/120,,周三,洋山,DIR,直达,20,7-23,7-31,SAF1,,Port Louis SAF USD800/1600 + EBS60/120 + AMS30/BILL，周三洋山直达20天，价格到7月31日已过期，紧供参考。,,,
103,71817,南,PORT LOUIS ,Mauritius,"路易港,毛里求斯",M,CMA,888,55,1788,110,1788,110,AMS30,913,1813,1813,55/110,,周三,洋山,DIR,直达,18,7-01,7-31,SHAKA2 目的港5天免用箱,,Port Louis CMA USD888/1788 + EBS55/110 + AMS30/BILL，周三洋山直达18天，价格到7月31日已过期，紧供参考。,,,
104,71817,南,PORT LOUIS ,Mauritius,"路易港,毛里求斯",B,MSC,975,,1950,,1950,,AMS30,1000,2000,2000,,,周五,外港,SIN,新加坡,19,7-15,7-31,,20'GP ≧18T+USD200,Port Louis MSC USD975/1950 + AMS30/BILL，周五外港新加坡转19天，价格到7月31日已过期，紧供参考。,,,
105,71817,南,TOAMASINA/TAMATAVE ,Madagascar,"图阿马西纳/塔马塔夫,马达加斯加",A,MSK,1200,60,2200,120,2200,120,AMS30,1225,2250,2250,60/120,,周五,洋山,TPP,丹戎帕拉帕斯港,26,7-16,7-31,FW3,,Toamasina/Tamatave MSK USD1200/2200 + EBS60/120 + AMS30/BILL，周五洋山丹戎帕拉帕斯港转26天，价格到7月31日已过期，紧供参考。,,,
106,71817,南,TOAMASINA/TAMATAVE ,Madagascar,"图阿马西纳/塔马塔夫,马达加斯加",D,SAF,1175,60,2150,120,2150,120,AMS30,1200,2200,2200,60/120,,周二,洋山,TPP,丹戎帕拉帕斯港,26,7-16,7-31,AE1/AE5,,Toamasina/Tamatave SAF USD1175/2150 + EBS60/120 + AMS30/BILL，周二洋山丹戎帕拉帕斯港转26天，价格到7月31日已过期，紧供参考。,,,
107,71817,南,TOAMASINA/TAMATAVE ,Madagascar,"图阿马西纳/塔马塔夫,马达加斯加",M,CMA,1025,55,1950,110,1950,110,AMS30,1363,2313,2313,55/110,,周四/周五/周日,外港/外港/洋山,TPP/SIN/SIN,丹戎帕拉帕斯港/新加坡/新加坡,27,7-15,7-31,WAX/FAL1/AFEX,,Toamasina/Tamatave CMA USD1025/1950 + EBS55/110 + AMS30/BILL，周四/周五/周日外港/外港/洋山丹戎帕拉帕斯港/新加坡/新加坡转27天，价格到7月31日已过期，紧供参考。,,,
108,71817,南,TOAMASINA/TAMATAVE ,Madagascar,"图阿马西纳/塔马塔夫,马达加斯加",K,PIL,1610,,2710,,2710,,AMS30,1710,2910,2910,,,周三,外港,SIN,新加坡,31,7-15,7-31,,,Toamasina/Tamatave PIL USD1610/2710 + AMS30/BILL，周三外港新加坡转31天，价格到7月31日已过期，紧供参考。,,,
109,71817,南,TOAMASINA/TAMATAVE ,Madagascar,"图阿马西纳/塔马塔夫,马达加斯加",B,MSC,980,,1955,,1955,,AMS30,1005,2005,2005,,,周五,外港,MUPLO,路易港,25,7-15,7-31,加ENS PAD EUR45/90/90,20'GP ≧18T+USD200,Toamasina/Tamatave MSC USD980/1955 + AMS30/BILL，周五外港路易港转25天，价格到7月31日已过期，紧供参考。,,,
110,71817,南,MAJUNGA,Madagascar,"马哈赞加,马达加斯加",O,BLINE,1875,50,3350,100,3350,100,AMS30,1875,3350,3350,50/100,,周三,外港,Mutsamudu,穆察穆杜,65,7-16,7-31,箱东单,,Majunga BLINE USD1875/3350 + EBS50/100 + AMS30/BILL，周三外港穆察穆杜转65天，价格到7月31日已过期，紧供参考。,,,
111,71817,南,MAJUNGA,Madagascar,"马哈赞加,马达加斯加",M,CMA,1838,55,3613,110,3613,110,AMS30,1913,3763,3763,55/110,,周二,洋山,PDG,加来角,40,6-15,7-31,ASAF,,Majunga CMA USD1838/3613 + EBS55/110 + AMS30/BILL，周二洋山加来角转40天，价格到7月31日已过期，紧供参考。,,,
112,71817,南,DIEGO,Madagascar,"迭戈,马达加斯加",M,CMA,1838,55,3613,110,3613,110,AMS30,1913,3763,3763,55/110,,周二,洋山,PDG,加来角,40,6-15,7-31,ASAF,,Diego CMA USD1838/3613 + EBS55/110 + AMS30/BILL，周二洋山加来角转40天，价格到7月31日已过期，紧供参考。,,,
113,71817,南,DIEGO SUAREZ,Madagascar,"迪耶果苏瓦雷斯,马达加斯加",B,MSC,1625,,3350,,3350,,AMS30,1650,3400,3400,,,周五,外港,MUPLO,路易港,28,7-15,7-31,,20'GP ≧18T+USD200,Diego Suarez MSC USD1625/3350 + AMS30/BILL，周五外港路易港转28天，价格到7月31日已过期，紧供参考。,,,
114,71817,南,NOSY BE,Madagascar,"贝岛,马达加斯加",M,CMA,1850,55,3650,110,3650,110,AMS30,1913,3763,3763,55/110,,周二,洋山,PDG,加来角,40,6-15,7-31,ASAF,"小箱箱货总重<27tons,大高箱箱货总重<18tons",Nosy Be CMA USD1850/3650 + EBS55/110 + AMS30/BILL，周二洋山加来角转40天，价格到7月31日已过期，紧供参考。,,,
115,71817,南,NOSY BE,Madagascar,"贝岛,马达加斯加",O,BLINE,1975,50,3450,100,3450,100,AMS30,1975,3450,3450,50/100,,周三,外港,JEA,迪拜,45,7-16,7-31,箱东单,,Nosy Be BLINE USD1975/3450 + EBS50/100 + AMS30/BILL，周三外港迪拜转45天，价格到7月31日已过期，紧供参考。,,,
116,71817,南,TULEAR,Madagascar,"图利亚拉,马达加斯加",M,CMA,1988,55,3913,110,3913,110,AMS30,2063,4063,4063,55/110,,周二,洋山,AEKFA,法坎,45,6-15,7-31,ASAF,,Tulear CMA USD1988/3913 + EBS55/110 + AMS30/BILL，周二洋山法坎转45天，价格到7月31日已过期，紧供参考。,,,
117,71817,南,TULEAR,Madagascar,"图利亚拉,马达加斯加",O,BLINE,1975,50,3450,100,3450,100,AMS30,1975,3450,3450,50/100,,周三,外港,Mutsamudu,穆察穆杜,65,7-16,7-31,箱东单,,Tulear BLINE USD1975/3450 + EBS50/100 + AMS30/BILL，周三外港穆察穆杜转65天，价格到7月31日已过期，紧供参考。,,,
118,71817,南,VOHEMAR,Madagascar,"武海马尔,马达加斯加",M,CMA,1850,55,3650,110,3650,110,AMS30,1913,3763,3763,55/110,,周二,洋山,PDG,加来角,35,6-15,7-31,ASAF,"小箱箱货总重<27tons,大高箱箱货总重<18tons",Vohemar CMA USD1850/3650 + EBS55/110 + AMS30/BILL，周二洋山加来角转35天，价格到7月31日已过期，紧供参考。,,,
119,71817,南,EHOALA,Madagascar,"艾奥拉,马达加斯加",O,BLINE,1975,50,3450,100,3450,100,AMS30,1975,3450,3450,50/100,,周三,外港,Mutsamudu,穆察穆杜,67,7-16,7-31,箱东单,,Ehoala BLINE USD1975/3450 + EBS50/100 + AMS30/BILL，周三外港穆察穆杜转67天，价格到7月31日已过期，紧供参考。,,,
120,71817,南,EHOALA,Madagascar,"艾奥拉,马达加斯加",M,CMA,1838,55,3613,110,3613,110,AMS30,1913,3763,3763,55/110,,周二,洋山,AEKFA,法坎,45,6-15,7-31,ASAF,,Ehoala CMA USD1838/3613 + EBS55/110 + AMS30/BILL，周二洋山法坎转45天，价格到7月31日已过期，紧供参考。,,,
121,71817,南,PORT REUNION ,Reunion,"留尼旺,留尼旺",A,MSK,840,60,1480,120,1480,120,AMS30,865,1530,1530,60/120,,周五,洋山,TPP,丹戎帕拉帕斯港,24,7-16,7-31,加ENS(USD30) FW3,,Port Reunion MSK USD840/1480 + EBS60/120 + AMS30/BILL，周五洋山丹戎帕拉帕斯港转24天，价格到7月31日已过期，紧供参考。,,,
122,71817,南,PORT REUNION ,Reunion,"留尼旺,留尼旺",D,SAF,815,60,1430,120,1430,120,AMS30,840,1480,1480,60/120,,周二,洋山,TPP,丹戎帕拉帕斯港,24,7-16,7-31,FW6,DDF/30BOL IMP/9CONTAINER EUR,Port Reunion SAF USD815/1430 + EBS60/120 + AMS30/BILL，周二洋山丹戎帕拉帕斯港转24天，价格到7月31日已过期，紧供参考。,,,
123,71817,南,PORT REUNION ,Reunion,"留尼旺,留尼旺",M,CMA,1063,55,1863,110,1863,110,AMS30,1088,1913,1913,55/110,,周二,洋山,SIN,路易港,20,6-15,7-31,ASAF,,Port Reunion CMA USD1063/1863 + EBS55/110 + AMS30/BILL，周二洋山路易港转20天，价格到7月31日已过期，紧供参考。,,,
124,71817,南,PORT REUNION ,Reunion,"留尼旺,留尼旺",K,PIL,1010,,2010,,2010,,AMS30,1112,2312,2312,,,周三,外港,SIN,新加坡,29,7-15,7-31,另加 AMS USD25,,Port Reunion PIL USD1010/2010 + AMS30/BILL，周三外港新加坡转29天，价格到7月31日已过期，紧供参考。,,,
125,71817,南,POINTE DES GALETS ,Reunion,"加莱角,留尼旺",B,MSC,925,,1850,,1850,,AMS30,950,1900,1900,,,周五,外港,MUPLO,路易港,26,7-15,7-31,,20'GP ≧18T+USD200,Pointe Des Galets MSC USD925/1850 + AMS30/BILL，周五外港路易港转26天，价格到7月31日已过期，紧供参考。,,,
126,71817,南,POINTE DES GALETS ,Reunion,"加莱角,留尼旺",M,CMA,1063,55,1863,110,1863,110,AMS30,1088,1913,1913,55/110,,周二,洋山,DIR,直达,22,6-15,7-31,ASAF,,Pointe Des Galets CMA USD1063/1863 + EBS55/110 + AMS30/BILL，周二洋山直达22天，价格到7月31日已过期，紧供参考。,,,
127,71817,南,EAST LONDON,South Africa,"东伦敦,南非",D,SAF,765,60,1530,120,1530,120,AMS30,790,1580,1580,60/120,,周三,洋山,PLZ,伊丽莎白港,39,7-16,7-31,SAF1,,East London SAF USD765/1530 + EBS60/120 + AMS30/BILL，周三洋山伊丽莎白港转39天，价格到7月31日已过期，紧供参考。,,,
128,71817,南,EAST LONDON,South Africa,"东伦敦,南非",B,MSC,1175,,1900,,1900,,AMS30,1200,1950,1950,,,周五,外港,PLZ,伊丽莎白港,34,7-15,7-31,,20'GP ≧18T+USD200,East London MSC USD1175/1900 + AMS30/BILL，周五外港伊丽莎白港转34天，价格到7月31日已过期，紧供参考。,,,
129,71817,南,EAST LONDON,South Africa,"东伦敦,南非",A,MSK,790,60,1580,120,1580,120,AMS30,815,1630,1630,60/120,,周三,洋山,PLZ,伊丽莎白港,39,7-16,7-31,AC3,,East London MSK USD790/1580 + EBS60/120 + AMS30/BILL，周三洋山伊丽莎白港转39天，价格到7月31日已过期，紧供参考。,,,
130,71817,南,VICTORIA（Mahe),Seychelles,"维多利亚港(马埃),塞舌尔",A,MSK,1850,60,3400,120,3400,120,AMS30,1875,3450,3450,60/120,,周五,洋山,PLU,路易港,34,7-16,7-31,AC3,,Victoria（Mahe) MSK USD1850/3400 + EBS60/120 + AMS30/BILL，周五洋山路易港转34天，价格到7月31日已过期，紧供参考。,,,
131,71817,南,VICTORIA（Mahe),Seychelles,"维多利亚港(马埃),塞舌尔",D,SAF,1825,60,3350,120,3350,120,AMS30,1850,3400,3400,60/120,,周三,洋山,PLU,路易港,34,7-16,7-31,SAF1,,Victoria（Mahe) SAF USD1825/3350 + EBS60/120 + AMS30/BILL，周三洋山路易港转34天，价格到7月31日已过期，紧供参考。,,,
132,71817,南,VICTORIA（Mahe),Seychelles,"维多利亚港(马埃),塞舌尔",O,BLINE,1975,50,3350,100,3350,100,AMS30,1975,3350,3350,50/100,,周三,外港,JEA,迪拜,27,7-16,7-31,箱东单,,Victoria（Mahe) BLINE USD1975/3350 + EBS50/100 + AMS30/BILL，周三外港迪拜转27天，价格到7月31日已过期，紧供参考。,,,
133,71817,南,VICTORIA（Mahe),Seychelles,"维多利亚港(马埃),塞舌尔",M,CMA,1788,55,3263,110,3263,110,AMS30,1813,3313,3313,55/110,,周四/周日,外港/洋山,TPP/SIN,丹戎帕拉帕斯港/新加坡,26,6-15,7-31,WAX/FAL1 14天免用箱,,Victoria（Mahe) CMA USD1788/3263 + EBS55/110 + AMS30/BILL，周四/周日外港/洋山丹戎帕拉帕斯港/新加坡转26天，价格到7月31日已过期，紧供参考。,,,
134,71817,西,LOME,TOGO,"洛美,多哥",M,CMA,1838,55,3163,110,3163,110,,1888,3263,3263,55/110,,周五,外四,DIR,直达,37,7-15,7-31,AFEX 10天免用箱,,Lome CMA USD1838/3163 + EBS55/110，周五外四直达37天，价格到7月31日已过期，紧供参考。,,,
135,71817,西,LOME,TOGO,"洛美,多哥",E,COSCO,1760,60,2910,120,2910,120,,1785,2960,2960,60/120,,周三,外港,DIR,直达,38,7-20,7-31,WAX3,20'GP≧18T以上单票确认,Lome COSCO USD1760/2910 + EBS60/120，周三外港直达38天，价格到7月31日已过期，紧供参考。,,,
136,71817,西,LOME,TOGO,"洛美,多哥",G,ZIM,1835,75,3010,150,3010,150,,1860,3060,3060,75/150,,周三,外港,DIR,直达,38,7-23,7-31,,,Lome ZIM USD1835/3010 + EBS75/150，周三外港直达38天，价格到7月31日已过期，紧供参考。,,,
137,71817,西,LOME,TOGO,"洛美,多哥",B,MSC,1950,,3200,,3200,,,1975,3250,3250,,,周五,外港,DIR,直达,35,7-20,7-31,Subject to DTHC EUR 105/155 for 20/40(can be cc),,Lome MSC USD1950/3200，周五外港直达35天，价格到7月31日已过期，紧供参考。,,,
138,71817,西,LOME,TOGO,"洛美,多哥",A,MSK,1800,60,3100,120,3100,120,,1800,3100,3100,60/120,,周五,外港,DIR,直达,39,7-16,7-31,FEW3,,Lome MSK USD1800/3100 + EBS60/120，周五外港直达39天，价格到7月31日已过期，紧供参考。,,,
139,71817,西,LOME,TOGO,"洛美,多哥",D,SAF,1800,60,3100,120,3100,120,,1800,3100,3100,60/120,,周五,外港,DIR,直达,39,7-16,7-31,FW3,,Lome SAF USD1800/3100 + EBS60/120，周五外港直达39天，价格到7月31日已过期，紧供参考。,,,
140,71817,西,LOME,TOGO,"洛美,多哥",K,PIL,1960,,3210,,3210,,,2060,3410,3410,,,周三,外港,DIR,直达,35,7-23,7-31,,,Lome PIL USD1960/3210，周三外港直达35天，价格到7月31日已过期，紧供参考。,,,
141,71817,西,TEMA,GHANA,"特马,加纳",M,CMA,2038,55,3363,110,3363,110,,2088,3463,3463,55/110,,周五,外四,DIR,直达,39,7-15,7-31,AFEX 7天免用箱,,Tema CMA USD2038/3363 + EBS55/110，周五外四直达39天，价格到7月31日已过期，紧供参考。,,,
142,71817,西,TEMA,GHANA,"特马,加纳",E,COSCO,1810,60,3010,120,3010,120,,1835,3060,3060,60/120,,周三,外港,DIR,直达,44,7-20,7-31,WAX3,20'GP≧18T以上单票确认,Tema COSCO USD1810/3010 + EBS60/120，周三外港直达44天，价格到7月31日已过期，紧供参考。,,,
143,71817,西,TEMA,GHANA,"特马,加纳",G,ZIM,1835,75,3010,150,3010,150,,1860,3060,3060,75/150,,周一/周三,外港,DIR,直达,44,7-23,7-31,,,Tema ZIM USD1835/3010 + EBS75/150，周一/周三外港直达44天，价格到7月31日已过期，紧供参考。,,,
144,71817,西,TEMA,GHANA,"特马,加纳",K,PIL,1960,,3210,,3210,,,3060,3410,3410,,,周一/周三,外港,DIR,直达,42/40,7-23,7-31,,,Tema PIL USD1960/3210，周一/周三外港直达42/40天，价格到7月31日已过期，紧供参考。,,,
145,71817,西,TEMA,GHANA,"特马,加纳",H,ONE,1890,,2965,,2965,,,1915,3015,3015,,,周二/周三,外港,DIR,直达,44,7-26,7-31,,,Tema ONE USD1890/2965，周二/周三外港直达44天，价格到7月31日已过期，紧供参考。,,,
146,71817,西,TEMA,GHANA,"特马,加纳",B,MSC,1950,,3200,,3200,,,1975,3250,3250,,,周五,外港,TGLFW,洛美,42,7-20,7-31,Subj DTHC EUR 140/250 for 20/40 (can be cc),,Tema MSC USD1950/3200，周五外港洛美转42天，价格到7月31日已过期，紧供参考。,,,
